"","2020-12-31","2021-06-30","2021-12-31","Evol en (Val)","Evol en (%)"
"Crédits Directs",1965089415703,2070612152694,2301518745927,230906593233,0.100327922004388
"Engagements hors bilan",855738012801,1006378235859,1095286108271,88907872412,0.0811731946024117
"Portefeuille Douteux Crédits Directs",51786795447,59276930446,48643535318,-10633395128,-0.218598320588455
"Portefeuille Douteux Eng. hors bilan",2229837257,3091936577,2059856078,-1032080499,-0.501044956501082
"Créances restructurées",20485564584,19869257468,29015838820,9146581352,0.315227190526557
"Provisions",58272608834,62002312090,62028724124,26412034,0.000425803276997934
"Portefeuille global",2820827428504,3076990388553,3396804854198,319814465645,0.0941515569402675
"CES_DIRECTES",72272360031,79146187914,77659374138,-1486813776,-0.019145322667138
"Créances en souffrance directes / Crédits directs",0.0367781534282729,0.0382235696873631,0.0337426641757465,-0.00448090551161658,-0.132796435049647
"Créances en souffrance / portefeuille global",0.0264114693919832,0.0267268057764957,0.0234688872743094,-0.00325791850218623,-0.138818618203197
